datetime,us_aqi,us_aqi_lag1,us_aqi_lag6,us_aqi_lag24,us_aqi_diff,log_carbon_monoxide,log_nitrogen_dioxide,log_sulphur_dioxide,log_ozone,scaled_pm2_5,scaled_ozone,scaled_sulphur_dioxide,scaled_nitrogen_dioxide,scaled_pm2_5_diff,scaled_ozone_per_humidity,scaled_temperature_2m,scaled_relative_humidity_2m,scaled_wind_speed_10m,precipitation,month,day_of_week,hour_sin,hour_cos,scaled_pm2_5_temp_interaction
2025-06-06 23:00:00,78,79.0,79.0,76.0,-1.0,5.356586274672012,2.791165107812717,2.4423470353692043,3.912023005428146,-0.0880889458200287,-0.689258539016728,-0.534623469213823,0.3998293283913405,0.0420359808343773,-0.5528682508184809,-0.7610974758200503,-0.0470156002545051,0.0724610312989796,0.0,6.0,4.0,-0.2588190451025215,0.965925826289068,-0.2227719110921272
2025-06-07 00:00:00,78,78.0,79.0,76.0,0.0,5.225746673713202,2.653241964607215,2.360854001118021,3.970291913552122,-0.1246078767598801,-0.58091998813102,-0.7176898034156697,0.139963347348076,-0.132887939411901,-0.5145221031702935,-0.924597183365072,0.1372962685494817,-0.0333843817237336,0.0,6.0,5.0,0.0,1.0,-0.2784590315413659
2025-06-07 01:00:00,79,78.0,79.0,77.0,1.0,5.0369526024136295,2.4423470353692043,2.272125885509337,4.02535169073515,-0.1732997846796821,-0.4725814372453119,-0.9007561376175164,-0.1941500568504066,-0.1766189194734709,-0.4780932629045152,-1.0880968909100954,0.3216081373534686,-0.1392297947464467,0.0,6.0,5.0,0.2588190451025207,0.9659258262890684,-0.3432218512028117
2025-06-07 02:00:00,79,79.0,79.0,77.0,0.0,4.875197323201151,2.2300144001592104,2.19722457733622,4.07753744390572,-0.2585106235393349,-0.3642428863596039,-1.0431410642189527,-0.4663906084195406,-0.3078118596581777,-0.4434414392370678,-1.251596598455119,0.5059200061574555,-0.1392297947464467,0.0,6.0,5.0,0.4999999999999999,0.8660254037844387,-0.4359309748535428
2025-06-07 03:00:00,79,79.0,79.0,77.0,0.0,4.795790545596741,2.091864061678393,2.151762203259462,4.0943445622221,-0.3680674163588886,-0.3281300360643679,-1.1245038794197737,-0.6148854547299775,-0.3952738197813162,-0.4221172400571001,-1.251596598455119,0.5059200061574555,0.051291948694437,0.0,6.0,5.0,0.7071067811865475,0.7071067811865476,-0.5222357371733963
2025-06-07 04:00:00,79,79.0,79.0,77.0,0.0,4.77912349311153,2.0014800002101243,2.128231705849268,4.110873864173311,-0.4289323012586407,-0.292017185769132,-1.1651852870201838,-0.7015074484110655,-0.2203498995350394,-0.38499733778086,-1.251596598455119,0.413764071755462,0.1571373617171502,0.0,6.0,5.0,0.8660254037844386,0.5000000000000001,-0.5701828273510926
2025-06-07 05:00:00,79,79.0,78.0,77.0,0.0,4.867534450455582,2.028148247292285,2.1633230256605382,4.0943445622221,-0.4776242091784426,-0.3281300360643679,-1.1041631756195682,-0.6767583073593262,-0.1766189194734709,-0.4065847986790988,-1.3060965009701273,0.413764071755462,0.3053209399489489,0.0,6.0,5.0,0.9659258262890684,0.2588190451025207,-0.6162120339216812
2025-06-07 06:00:00,79,79.0,78.0,77.0,0.0,5.111987788356544,2.079441541679836,2.2823823856765264,4.127134385045092,-0.4532782552185415,-0.2559043354738959,-0.880415433817311,-0.6272600252558472,0.0857669608959473,-0.3794688416971646,-1.1970966959401104,0.5059200061574555,0.2206446095307783,0.0,6.0,5.0,1.0,6.123233995736766e-17,-0.5816216331506284
2025-06-07 07:00:00,79,79.0,79.0,77.0,0.0,5.365976015021851,2.1400661634962708,2.424802725718295,4.189654742026425,-0.1732997846796821,-0.1114529342929519,-0.5753048768142331,-0.5653871726264985,1.0041175421889013,-0.2415363634571203,-0.924597183365072,0.2294522029514751,0.5381808485989175,0.0,6.0,5.0,0.9659258262890684,-0.2588190451025206,-0.317638653800855
2025-06-07 08:00:00,79,79.0,79.0,78.0,0.0,5.493061443340548,2.128231705849268,2.533696813957432,4.262679877041316,-0.1732997846796821,0.069111317183228,-0.3108757274115659,-0.5777617431523682,-0.0016949992271926,0.0197675540611194,-0.3795981582149948,-0.4156393378624789,0.7287025920398017,0.0,6.0,5.0,0.8660254037844387,-0.4999999999999998,-0.2323613291276667
