datetime,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour,day_of_week,month,hour_sin,hour_cos,us_aqi_lag1,us_aqi_lag6,us_aqi_lag24,us_aqi_diff,pm2_5_diff,ozone_per_humidity,pm2_5_temp_interaction,log_carbon_monoxide,log_ozone,log_sulphur_dioxide,log_nitrogen_dioxide,scaled_pm2_5,scaled_ozone,scaled_sulphur_dioxide,scaled_nitrogen_dioxide,scaled_temperature_2m,scaled_relative_humidity_2m,scaled_wind_speed_10m,scaled_pm2_5_diff,scaled_ozone_per_humidity,scaled_pm2_5_temp_interaction
16/05/2025 14:00,3.7,13.2,119.0,68,32.8,64,14.9,0.0,14.0,4.0,5.0,-0.4999999999999997,-0.8660254037844388,69.0,71.0,72.0,-1.0,0.6999999999999993,1.8307692307692307,623.1999999999999,5.521460917862246,4.787491742782046,2.653241964607215,1.547562508716013,-0.8915054264967569,1.838640981649792,0.0145755333917169,-1.0356208526095485,1.3643987222652494,-1.060730878676433,0.2206446095307783,0.3044218612037925,1.5210094021421103,-0.6222396681154487
16/05/2025 15:00,4.2,13.6,116.0,68,32.5,68,13.6,0.0,15.0,4.0,5.0,-0.7071067811865471,-0.7071067811865479,68.0,71.0,72.0,0.0,0.8999999999999986,1.681159420289855,646.75,5.62040086571715,4.762173934797756,2.681021528714291,1.6486586255873816,-0.7819486336772032,1.7303024307640835,0.0959383485925377,-0.9737479999801996,1.200899014720228,-0.6921071410684592,-0.0545534643282761,0.3918838213269309,1.2594040315110775,-0.5415858128522523
16/05/2025 16:00,5.3,14.4,112.0,68,32.2,68,13.4,0.0,16.0,4.0,5.0,-0.8660254037844384,-0.5000000000000004,68.0,70.0,72.0,0.0,0.6000000000000014,1.6231884057971016,660.1,5.739792912179234,4.727387818712341,2.734367509419584,1.840549633397487,-0.7089107717975005,1.5858510295831398,0.2586639789941794,-0.8376277241956326,1.0373993071752063,-0.6921071410684592,-0.0968916295373612,0.2606908811422241,1.1580368238149994,-0.4958648375756632
16/05/2025 17:00,8.0,14.6,100.0,67,31.6,72,12.9,0.0,17.0,4.0,5.0,-0.9659258262890684,-0.2588190451025206,68.0,70.0,81.0,-1.0,0.8000000000000007,1.36986301369863,673.08,5.828945617610208,4.61512051684126,2.747270914255491,2.19722457733622,-0.6115269559578971,1.152496826040308,0.2993453865945896,-0.5035143199971499,0.7103998920851593,-0.3234834034604855,-0.2027370425600745,0.3481528412653625,0.7150760121019992,-0.4514110353966276
16/05/2025 18:00,14.0,14.9,84.0,67,30.5,76,12.5,0.0,18.0,4.0,5.0,-1.0,-1.8369701987210287e-16,67.0,70.0,83.0,0.0,0.0999999999999978,1.0909090909090908,652.6999999999999,5.8805329864007,4.442651256490317,2.766319109226186,2.70805020110221,-0.599353978977947,0.5746912213165319,0.3603674979952053,0.238959911555034,0.1109009644200737,0.0451403341474882,-0.2874133729782451,0.0420359808343758,0.227301553151007,-0.5212082995267315
16/05/2025 19:00,22.4,15.4,61.0,67,29.9,80,10.5,0.0,19.0,4.0,5.0,-0.9659258262890684,0.2588190451025203,67.0,69.0,76.0,0.0,-0.6999999999999993,0.7530864197530864,618.93,5.910796644040527,4.127134385045092,2.797281334830153,3.152736022363656,-0.6845648178375998,-0.2559043354738959,0.4620710169962312,1.2784238357280913,-0.2160984506699732,0.413764071755462,-0.7107950250690979,-0.3078118596581777,-0.363409876882621,-0.6368635306196461
16/05/2025 20:00,28.3,15.5,44.0,67,29.7,81,11.7,0.0,20.0,4.0,5.0,-0.8660254037844386,0.5000000000000001,67.0,68.0,71.0,0.0,0.6000000000000014,0.5365853658536586,632.61,5.8971538676367405,3.80666248977032,2.803360380906535,3.3775875160230218,-0.6115269559578971,-0.8698227904929079,0.4824117207964364,2.008523496754405,-0.3250982556999883,0.5059200061574555,-0.4567660338145863,0.2606908811422241,-0.7419802277566155,-0.5900123739317255
16/05/2025 21:00,30.0,15.1,37.0,66,29.4,81,13.0,0.0,21.0,4.0,5.0,-0.7071067811865477,0.7071067811865474,67.0,68.0,71.0,-1.0,-0.1999999999999993,0.4512195121951219,620.34,5.805134968916488,3.6375861597263857,2.778819271990417,3.4339872044851463,-0.6358729099177979,-1.1226127425595598,0.4010489055956155,2.2188911956941912,-0.4885979632450117,0.5059200061574555,-0.1815679599555319,-0.089156959350331,-0.8912496220163894,-0.6320345736803207
16/05/2025 22:00,29.4,14.4,36.0,66,29.4,81,14.8,0.0,22.0,4.0,5.0,-0.5000000000000004,0.8660254037844384,66.0,68.0,71.0,0.0,-0.4000000000000021,0.4390243902439024,608.5799999999999,5.645446897643238,3.610917912644224,2.734367509419584,3.414442608412176,-0.6845648178375998,-1.158725592854796,0.2586639789941794,2.1446437725389726,-0.4885979632450117,0.5059200061574555,0.1994755269262357,-0.1766189194734709,-0.9125738211963572,-0.6723101294295859
16/05/2025 23:00,27.4,13.3,36.0,66,29.2,82,11.9,0.0,23.0,4.0,5.0,-0.2588190451025215,0.965925826289068,66.0,67.0,71.0,0.0,-0.8999999999999986,0.4337349397590361,578.16,5.484796933490655,3.610917912644224,2.660259537265861,3.3463891451671604,-0.7941216106571535,-1.158725592854796,0.0349162371919224,1.8971523620215776,-0.5975977682750268,0.5980759405594489,-0.4144278686055008,-0.3952738197813162,-0.9218228714430902,-0.7764923068014088
