time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour,day_of_week,month,hour_sin,hour_cos,us_aqi_lag1,us_aqi_lag6,us_aqi_lag24,us_aqi_roll3,us_aqi_diff,pm2_5_diff,ozone_per_humidity,pm2_5_temp_interaction,log_pm2_5,log_pm10,log_carbon_monoxide,log_ozone,log_sulphur_dioxide,log_nitrogen_dioxide,scaled_pm2_5,scaled_pm10,scaled_carbon_monoxide,scaled_ozone,scaled_sulphur_dioxide,scaled_nitrogen_dioxide,scaled_temperature_2m,scaled_relative_humidity_2m,scaled_wind_speed_10m,scaled_us_aqi_lag1,scaled_us_aqi_lag6,scaled_us_aqi_lag24,scaled_us_aqi_roll3,scaled_us_aqi_diff,scaled_pm2_5_diff,scaled_ozone_per_humidity,scaled_pm2_5_temp_interaction,scaled_log_pm2_5,scaled_log_pm10,scaled_log_carbon_monoxide,scaled_log_ozone,scaled_log_sulphur_dioxide,scaled_log_nitrogen_dioxide
26/05/2025 01:00,59.5,29.1,166.0,11.3,10.0,50.0,84,29.1,86,13.7,0.0,1.0,0.0,5.0,0.25881904510252074,0.9659258262890683,83.0,81.0,71.0,83.33333333333333,1.0,-1.5,0.5747126436781609,846.8100000000001,3.40452517175483,4.102643365036796,5.117993812416755,3.9318256327243257,2.3978952727983707,2.509599262378372,0.337965248478236,-0.29519793609342093,-0.9760123882090648,-0.6531456887214919,-0.6363269882148489,-0.09515349264344866,-0.6520976707900333,0.9666996781674226,-0.0333843817237336,0.1852548565593722,0.03469381536974828,-0.7078851935047642,0.21186996571447336,0.6666492225413561,-0.6576597001507329,-0.675311467102004,0.14357810578702815,0.49946416637659186,-0.15941225263136446,-1.2340444653023368,-0.5657545253564998,-0.6327545101316526,0.1862122815247276
26/05/2025 02:00,56.3,27.7,149.0,9.2,8.8,52.0,84,29.0,87,14.2,0.0,2.0,0.0,5.0,0.49999999999999994,0.8660254037844387,84.0,81.0,72.0,83.66666666666667,0.0,-1.4000000000000021,0.5909090909090909,803.3,3.3568971227655755,4.048300623720694,5.0106352940962555,3.970291913552122,2.2823823856765264,2.322387720290225,0.16754357075892984,-0.37271587025783115,-1.1378998569034247,-0.58091998813102,-0.880415433817311,-0.3550194736867132,-0.7065975733050418,1.058855612569416,0.0724610312989796,0.2627353072054806,0.03469381536974828,-0.6318864918457872,0.23779016067829808,-0.007182312877526853,-0.6139287200891645,-0.6469906132276685,-0.005434600900941236,0.32356809306702716,-0.27916820555891453,-1.5512105697232443,-0.4692826562554848,-1.000635780781848,-0.13931254088636622
26/05/2025 03:00,53.4,26.4,137.0,7.5,7.9,54.0,85,29.0,86,13.6,0.0,3.0,0.0,5.0,0.7071067811865475,0.7071067811865476,84.0,82.0,73.0,84.33333333333333,1.0,-1.3000000000000007,0.6206896551724138,765.5999999999999,3.3105430133940246,3.996364153861897,4.927253685157205,4.007333185232471,2.186051276738094,2.1400661634962708,0.00929487001957425,-0.4429664980943278,-1.2521733642170905,-0.5086942875405479,-1.0634817680191577,-0.5653871726264985,-0.7065975733050418,0.9666996781674226,-0.05455346432827616,0.2627353072054806,0.11185764610591305,-0.5558877901868101,0.2896305506059453,0.6666492225413561,-0.5701977400275945,-0.5949167851361487,-0.13454926516516644,0.15237683091691373,-0.3936214202661807,-1.79754239789357,-0.3763846521859162,-1.307427617107712,-0.4563346204818736
26/05/2025 04:00,50.1,25.0,132.0,6.1,7.2,55.0,85,28.9,86,12.8,0.0,4.0,0.0,5.0,0.8660254037844386,0.5000000000000001,85.0,82.0,73.0,84.66666666666667,0.0,-1.3999999999999986,0.632183908045977,722.5,3.258096538021482,3.933784497209659,4.890349128221754,4.02535169073515,2.1041341542702074,1.9600947840472698,-0.1611268076997315,-0.5229068677013756,-1.2997873255977845,-0.47258143724531193,-1.205866694620594,-0.7386311599886748,-0.7610974758200503,0.9666996781674226,-0.22390612516461705,0.340215757851589,0.11185764610591305,-0.5558877901868101,0.31555074556977003,-0.007182312877526853,-0.613928720089163,-0.5748181146446848,-0.2821578070693597,-0.041314266508435844,-0.5315291929468912,-1.9065684420464324,-0.3311949726317075,-1.5683143099466355,-0.7692701942224678
26/05/2025 05:00,49.6,24.4,145.0,6.2,7.6,57.0,85,28.8,87,12.4,0.0,5.0,0.0,5.0,0.9659258262890683,0.25881904510252074,85.0,83.0,74.0,85.0,0.0,-0.6000000000000014,0.6477272727272727,702.72,3.2347491740244907,3.92395157629342,4.983606621708336,4.060443010546419,2.151762203259462,1.9740810260220096,-0.23416466957943421,-0.5350190449145648,-1.1759910260079798,-0.40035573665484,-1.1245038794197735,-0.726256589462805,-0.8155973783350569,1.058855612569416,-0.3085824555827877,0.340215757851589,0.18902147684207782,-0.4798890885278331,0.3414709405335936,-0.007182312877526853,-0.26408087959660936,-0.5476392306846373,-0.3499001959061334,-0.1275388702104777,-0.5531981552750125,-1.631060579420224,-0.2431873686065125,-1.4166302198219134,-0.7449508126061244
26/05/2025 06:00,49.6,24.1,196.0,7.1,8.9,57.0,85,29.1,84,12.7,0.0,6.0,0.0,5.0,1.0,6.123233995736766e-17,85.0,83.0,75.0,85.0,0.0,-0.29999999999999716,0.6705882352941176,701.3100000000001,3.2228678461377385,3.92395157629342,5.2832037287379885,4.060443010546419,2.2925347571405443,2.0918640616783932,-0.27068360051928514,-0.5350190449145648,-0.6903286199249002,-0.40035573665484,-0.8600747300171059,-0.6148854547299775,-0.6520976707900333,0.7823878093634358,-0.24507520776915998,0.340215757851589,0.18902147684207782,-0.4038903868688561,0.3414709405335936,-0.007182312877526853,-0.13288793941189944,-0.5076649097085,-0.3547291528454585,-0.17141803312673845,-0.5531981552750125,-0.7459696819406506,-0.2431873686065125,-0.9683028748407462,-0.5401487937913274
26/05/2025 07:00,59.0,25.7,264.0,8.3,10.7,58.0,85,29.4,81,13.0,0.0,7.0,0.0,5.0,0.9659258262890683,-0.25881904510252063,85.0,84.0,75.0,85.0,0.0,1.5999999999999979,0.7073170731707317,755.5799999999999,3.2846635654062037,4.0943445622221,5.579729825986222,4.07753744390572,2.4595888418037104,2.2300144001592104,-0.07591596884007863,-0.30731011330661,-0.04277874514746082,-0.36424288635960395,-0.4939420616134127,-0.4663906084195406,-0.48859796324501176,0.5059200061574555,-0.18156795995553193,0.340215757851589,0.2661853075782426,-0.4038903868688561,0.3414709405335936,-0.007182312877526853,0.6980006817579161,-0.4434414392370678,-0.16886568256377474,0.056800938620678476,-0.1777004547934667,0.1300486219129258,-0.2003152244349141,-0.436275059897758,-0.29993195727370425
26/05/2025 08:00,63.6,26.5,305.0,8.7,12.4,63.0,85,30.6,74,13.4,0.0,8.0,0.0,5.0,0.8660254037844387,-0.4999999999999998,85.0,84.0,76.0,85.0,0.0,0.8000000000000007,0.84,810.9000000000001,3.3141860046725258,4.168214410788556,5.723585101952381,4.1588830833596715,2.5952547069568657,2.272125885509337,0.021467846999524847,-0.19587808294527043,0.3476557381742306,-0.18367863488342398,-0.14815009700992432,-0.4168923263160618,0.16540086693508227,-0.1391715346564986,-0.09689162953736129,0.340215757851589,0.2661853075782426,-0.32789168520987905,0.3414709405335936,-0.007182312877526853,0.34815284126536256,-0.21143415215901923,0.020593819481237226,0.16583083280420338,-0.014912308788243138,0.5550360210718144,0.0036963335441781964,-0.004211312726792289,-0.22670819319823463
26/05/2025 09:00,64.7,27.1,289.0,7.7,14.0,75.0,85,32.0,67,13.8,0.0,9.0,0.0,5.0,0.7071067811865476,-0.7071067811865475,85.0,85.0,77.0,85.0,0.0,0.6000000000000014,1.1029411764705883,867.2,3.3357695763397,4.185098925490565,5.66988092298052,4.330733340286331,2.70805020110221,2.1633230256605382,0.09450570887922756,-0.1692312930762544,0.19529106175600958,0.249675568659408,0.17730116379335858,-0.5406380315747591,0.9283995021451894,-0.7842630754704526,-0.012215299119190658,0.340215757851589,0.34334913831440733,-0.251892983550902,0.3414709405335936,-0.007182312877526853,0.2606908811422241,0.24834066945423747,0.2134096178386872,0.24554154077605517,0.022296361567501338,0.3963793489968613,0.4346897941655258,0.35501570292243323,-0.41589541549793163
26/05/2025 10:00,67.3,28.2,244.0,6.0,15.5,91.0,85,33.3,62,13.7,0.0,10.0,0.0,5.0,0.49999999999999994,-0.8660254037844387,85.0,85.0,77.0,85.0,0.0,1.0999999999999979,1.4444444444444444,939.06,3.374168709274236,4.223909766576744,5.501258210544727,4.5217885770490405,2.803360380906535,1.9459101490553132,0.22840845565868195,-0.10624797156767131,-0.23323459067023714,0.8274811733831839,0.4824117207964364,-0.7510057305145444,1.636898234840288,-1.2450427474804198,-0.0333843817237336,0.340215757851589,0.34334913831440733,-0.251892983550902,0.3414709405335936,-0.007182312877526853,0.47934578145006934,0.8454879334187576,0.4595151821364909,0.3873541248523146,0.10782442190511868,-0.10177775727474195,0.9138485637525434,0.6585561210173331,-0.7939345430933764
